3193014
3
y
204
0.077080,802,18
0.065865,716,29
0.077932,564,30
0.046560,1418,8
0.039607,299,32
0.014375,134,30
0.002573,905,5
0.046679,390,20
0.081578,880,47
0.015410,373,57
0.004754,1430,24
0.083580,1013,7
0.073095,891,54
0.052792,182,15
0.037494,110,22
0.051556,1448,60
0.072256,566,27
0.041886,1311,63
0.092984,174,26
0.076490,65,17
0.052527,783,5
0.068218,369,21
0.055901,901,8
0.026323,1339,1
0.053449,594,3
0.060747,247,17
0.086370,1007,19
0.022798,613,63
0.020249,836,3
0.034511,685,43
0.079409,1234,48
0.018926,159,10
0.048079,210,29
0.034363,1139,13
0.081731,762,4
0.000783,1314,55
0.063217,875,7
0.018715,1083,60
0.058678,82,6
0.010441,1255,27
0.092699,908,4
0.079196,69,36
0.016889,1108,38
0.048121,1029,13
0.083335,951,61
0.007927,944,41
0.012741,799,27
0.057166,372,63
0.011731,1386,27
0.049321,960,49
0.075793,876,4
0.025031,1301,33
0.038595,1447,28
0.031654,837,45
0.038231,949,20
0.046300,1451,4
0.082767,1444,46
0.012654,468,4
0.023177,1267,38
0.062959,847,31
0.073738,449,15
0.063730,1327,49
0.049407,92,22
0.038600,283,49
0.049309,419,46
0.040688,533,56
0.027093,768,0
0.017493,516,56
0.076236,1185,55
0.033488,1302,11
0.081295,213,49
0.052978,278,10
0.054297,576,37
0.077242,1418,22
0.021579,647,23
0.032034,110,29
0.029964,375,58
0.015675,369,51
0.034833,1143,2
0.085904,1481,54
0.058545,929,42
0.096479,967,22
0.069231,1222,1
0.032083,585,24
0.085643,1195,16
0.065871,402,59
0.023159,292,43
0.049425,853,1
0.093744,1258,30
0.058697,501,62
0.086175,830,20
0.026908,1222,40
0.037042,178,14
0.090030,1287,55
0.019759,184,27
0.092172,804,28
0.057295,1381,31
0.038483,340,61
0.099808,106,15
0.018899,881,49
0.040593,689,40
0.055368,535,18
0.061600,452,18
0.041877,293,2
0.066898,326,38
0.093208,1088,38
0.017501,738,45
0.072869,1165,18
0.054406,776,15
0.075863,619,49
0.068872,605,60
0.048612,641,4
0.010828,68,32
0.076603,345,50
0.090252,876,45
0.061224,531,50
0.056344,940,40
0.007944,1261,54
0.004819,195,59
0.073591,672,13
0.095099,609,46
0.015833,354,44
0.031107,659,56
0.039161,1448,34
0.084097,391,42
0.093596,759,9
0.035507,555,39
0.044602,429,26
0.080611,487,58
0.014508,276,51
0.044908,1436,60
0.006639,915,12
0.036388,595,45
0.093396,891,7
0.096765,289,20
0.034560,1375,25
0.073902,77,5
0.061138,409,58
0.025603,782,40
0.039652,1395,51
0.007240,931,6
0.000182,1055,58
0.079454,248,51
0.010851,1341,21
0.007777,1060,22
0.082553,99,30
0.000535,895,52
0.062944,1076,59
0.057484,746,24
0.044988,368,43
0.078417,402,57
0.090746,1489,24
0.070005,1305,8
0.079154,719,6
0.069569,635,29
0.025225,426,33
0.002103,1353,0
0.020331,875,20
0.055075,1459,35
0.086165,881,2
0.009841,679,14
0.021419,1424,17
0.027671,197,33
0.070386,479,5
0.049378,507,63
0.054716,302,37
0.081024,1400,58
0.075268,332,63
0.086429,321,11
0.031562,564,12
0.029682,884,16
0.004830,1465,60
0.065839,817,38
0.037386,889,2
0.032241,1094,8
0.001675,120,58
0.086252,1487,43
0.022035,629,52
0.070104,1273,26
0.009766,819,8
0.078973,1066,24
0.013276,560,38
0.089031,349,47
0.051706,1420,0
0.005074,1420,1
0.094348,320,62
0.030437,966,14
0.040168,869,60
0.034012,687,31
0.024907,482,55
0.032038,485,6
0.002033,789,9
0.023403,1305,22
0.043752,400,55
0.053415,356,63
0.078007,1406,19
0.099479,887,58
0.068046,1397,16
0.093999,348,13
0.031954,1388,44
0.083018,818,58
0.026249,171,14
0.017276,705,4
0.031473,1119,62
9
3
y
42
63
584
20
41
950
33
0
19
197
67
